,Training_set,Feature_set,ML_method,Precision,Recall,F1
0,train_1,All,SVM,0.3614457831325301,0.02056907781967775,0.03892312682452157
1,train_1,All,Random Forest,0.7486702127659575,0.19300651354130957,0.30689561188334696
2,train_1,All,KNN,0.9040880503144654,0.5913609873157354,0.7150259067357513
3,train_1,All,CNN,0.8888888888888888,0.43332190606787796,0.582622724129984
4,train_2,All,SVM,0.0,0.0,0.0
5,train_2,All,Random Forest,0.9852320675105485,0.15473823724320743,0.2674684994272623
6,train_2,All,KNN,0.8328646042587384,0.6868787276341949,0.7528599963682587
7,train_2,All,CNN,0.16160293347302251,0.6133200795228628,0.255804311774461
8,train_3,All,SVM,0.2669983416252073,0.05270049099836334,0.08802624384909787
9,train_3,All,Random Forest,0.8280946837407839,0.6985270049099837,0.7578125
10,train_3,All,KNN,0.7183221672006991,0.8072013093289689,0.7601726263871763
11,train_3,All,CNN,0.282811698306824,0.902127659574468,0.430625
