, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,Label,new_label,p0,p1
26861,4.16667354167801e-08,0.000971817298348,0.0,0.000612969242785,0.0,0.002654109589041,0.030024213075061,0.016628336562896,0.0,0.0,0.0,0.0,0.0,0.020653218059558,0.5,4.38596487380733e-08,0.0,4.16666663194444e-08,1.49122790012313e-07,3.33333333333333e-08,3.33333333333333e-08,0.0,3.33333333333333e-08,3.33333333333333e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002046559222308,0.0,0.166666666666667,0.0,0.174157303370787,0.002654109589041,0.029393173203128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042456805740088,0.016628336562896,0.0,0.002046559222308,0.0,0.0,0.0,0.0,0.0,0.0,0.000971817298348,0.000612969242785,0.0,0.0,0.0,0.0,0.000971817298348,0.231884057971014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8174338483810425,0.18256616155306496
17487,4.75000783751293e-07,0.0,0.000433463372345,9.88660069008473e-06,1.32744243877725e-06,8.56164383561644e-05,0.000968523002421,0.000536397953642,0.0,0.000515818431912,0.004132231404959,0.00155159038014,0.0,0.005832304103218,0.407142857142,4.99999995614035e-07,0.0,4.74999996041667e-07,6.05263088873508e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000767459708365,0.000270885253007,0.005952380953333,0.013392857148348,0.00561797752809,0.000256849315068,0.001580278129042,0.000527201782964,2.77777777760417e-07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.142857142857143,0.002282623964521,0.000536397953642,0.00155159038014,0.000767459708365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.88660069008473e-06,0.000433463372345,1.32744243877725e-06,0.015640258789063,1.52587890625e-05,0.0,0.173913043478261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.17502323786417642,0.8249767621358236
2239,0.000198300327196,0.0,0.000433463372345,0.000202675314147,1.52655880459384e-05,0.001755136986301,0.019854721549637,0.010996158049657,0.0,0.005931911966988,0.047520661157025,0.017843289371606,0.0,0.005765909135408,0.400016810254255,0.000208736840274,0.0,0.000198299998348,0.000208842081448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001023279611154,0.000433416404811,1.40085452125667e-05,3.15192267361548e-05,0.115168539325843,0.002953767123288,0.023862199750911,0.003690412480362,1.36111111111094e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857142857143,0.034467621864265,0.010996158049657,0.017843289371606,0.001023279611154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000202675314147,0.000433463372345,1.52655880459384e-05,0.0,0.0,0.0,0.231884057971014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8443166812260946,0.1556833287080129
19477,0.000401350662229,0.0,0.000433463372345,0.000207618614492,3.89383115374659e-05,0.001797945205479,0.020338983050848,0.011264357026478,0.0,0.015130674002751,0.121212121212121,0.04551331781743,0.0,0.005765862864594,0.400008305475384,0.000422473680505,0.0,0.000401349996655,0.00042257889918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001023279611154,0.000270885253007,6.92122948666667e-06,1.55727663488932e-05,0.117977528089888,0.007534246575342,0.041087231360791,0.017661259727135,0.000311736111094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857142857143,0.059348223077542,0.011264357026478,0.04551331781743,0.001023279611154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000207618614492,0.000433463372345,3.89383115374659e-05,0.0,0.0,0.0,0.231884057971014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8442182143529257,0.15578178564707437
21078,0.506651744308712,0.008746355685131,0.00433463372345,0.002728701790463,4.97790914541468e-05,0.021575342465754,0.0,0.014804583520514,0.027211370981875,0.018311554332875,0.0,0.005818463925524,0.01000820165351,0.005763694899137,0.400000065791521,0.028069310464766,0.055950793469349,0.083344999305458,1.08771917420746e-06,0.502996058333333,0.055888450925926,0.068371147725444,0.083765275,1.74166666666667e-06,0.5062303,0.056247811111111,0.064077644982824,0.083765575,1.58916666666667e-05,0.0,0.0,0.0,0.0,0.006779227423894,0.003846570592697,5.48262675e-08,1.2335910190584e-07,0.0,0.021575342465754,0.017541087234125,0.026573205664974,0.00070571875,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.142857142857143,0.017735988204327,0.014804583520514,0.005818463925524,0.006779227423894,0.0,0.0,0.0,0.0,0.0,0.0,0.008746355685131,0.002728701790463,0.00433463372345,4.97790914541468e-05,0.125015258789063,0.00115966796875,0.008746355685131,0.144927536231884,0.001265482368596,0.002184999050644,0.002565229540918,0.001001976047904,0.0833043375,0.00015300695457,0.083344991666667,0.083122441666667,0.0,0.0,0.8367743031183879,0.1632256869475047
25440,0.000254150419348,0.0,0.000433463372345,0.000261994918287,4.71242065765923e-05,0.002268835616438,0.025665859564165,0.014214545771508,0.0,0.018311554332875,0.146694214876033,0.055081458494957,0.0,0.005767878083282,0.400013116044202,0.000267526313443,0.0,0.000254149997882,0.000267631548428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000639549756971,0.000270885253007,1.09300368333333e-05,2.45925828811481e-05,0.148876404494382,0.009118150684932,0.050410872305691,0.021088071316288,0.000444444444427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857142857143,0.072815704468215,0.014214545771508,0.055081458494957,0.000639549756971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000261994918287,0.000433463372345,4.71242065765923e-05,0.0,0.0,0.0,0.144927536231884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8442009687423706,0.15579902132352194
184,0.047191319532344,0.007774538386783,0.002167316861725,0.00171532521973,0.001105980791908,0.008133561643836,0.0,0.010340560551954,0.012133397552921,0.248968363136176,0.0,0.258546677010602,0.195666029405364,0.005764142186009,0.400000494442117,0.003821161234902,0.017096976745283,0.043799332968339,2.1052629178209e-07,0.047191233333333,0.005898904166667,0.025161966908345,0.043799325,4.08333333333333e-07,0.003146883333333,0.000786720833333,0.00163779439586,0.00224165,1.74166666666667e-06,0.0,0.0,0.0,0.0,0.009465336403172,0.002275436125257,5.29759411666667e-07,6.6219926491555e-07,0.0,0.123972602739726,0.168963337574109,0.192984591079533,0.037221084822917,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.174327253081401,0.010340560551954,0.258546677010602,0.009465336403172,0.0,0.0,0.0,0.0,0.0,0.0,0.007774538386783,0.00171532521973,0.002167316861725,0.001105980791908,0.445571899414063,0.00360107421875,0.002915451895044,0.231884057971014,0.008123353293413,0.0,0.008123353293413,0.008123353293413,0.043799325,0.0,0.043799325,0.043799325,0.0,0.0,0.8058362054824829,0.19416379451751709
9248,8.23334691835575e-06,0.000971817298348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005763688760807,0.4004052684904,8.66666659064328e-06,0.0,8.23333326472222e-06,8.77192882425373e-06,8.225e-06,8.225e-06,0.0,8.225e-06,8.225e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002046559222308,0.0,0.000675447484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002046559222308,0.0,0.0,0.0,0.0,0.0,0.0,0.000971817298348,0.0,0.0,0.0,0.00384521484375,0.0,0.0,0.231884057971014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.23392580871942215,0.7660741813464704
13641,0.160635540048641,0.000971817298348,0.00086692674469,0.00053881973761,4.51330429184265e-05,0.002440068493151,0.025181598062954,0.014616844236739,0.000610048051948,0.009714580467675,0.06267217630854,0.026377036462374,0.002324394795521,0.005763696559853,0.400000041501887,0.056363259742428,0.130896226415094,0.160000007,0.000206464888736,0.16,0.16,0.0,0.16,0.16,0.160833333333333,0.160833333333333,0.0,0.160833333333333,0.160833333333333,0.0,0.0,0.0,0.0,0.001662829368125,0.000541770506014,3.45849056666667e-08,7.7816037769454e-08,0.146067415730337,0.004837328767123,0.034608091029489,0.006316116090744,3.98697916666667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857142857143,0.041657887352506,0.014616844236739,0.026377036462374,0.001662829368125,0.0,0.0,0.0,0.0,0.0,0.0,0.000971817298348,0.00053881973761,0.00086692674469,4.51330429184265e-05,0.0,0.0,0.000971817298348,0.144927536231884,0.000469540918164,0.0,0.000469540918164,0.000469540918164,0.16,0.0,0.16,0.16,0.0,0.0,0.8408911593755087,0.15910883069038392
18684,0.680771898273632,0.000971817298348,0.00086692674469,0.000464670232434,2.78762912143222e-05,0.00222602739726,0.020338983050848,0.012605351910583,0.001220096103897,0.005845942228336,0.039944903581267,0.016291698991466,0.001056543088629,0.005763690054287,0.400000009792822,0.238596497907048,0.554245283018868,0.679166669340278,0.000573175373234,0.68,0.68,0.0,0.68,0.68,0.68,0.68,0.0,0.68,0.68,0.0,0.0,0.0,0.0,0.002046559222308,0.000866832809622,8.160684666666671e-09,1.83615405045904e-08,0.117977528089888,0.00291095890411,0.025790139068551,0.002175306365017,4.72916666666667e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857142857143,0.031043685917484,0.012605351910583,0.016291698991466,0.002046559222308,0.0,0.0,0.0,0.0,0.0,0.0,0.000971817298348,0.000464670232434,0.00086692674469,2.78762912143222e-05,0.0,0.0,0.000971817298348,0.231884057971014,0.001707325349301,0.0,0.001707325349301,0.001707325349301,0.679166666666667,0.0,0.679166666666667,0.679166666666667,0.0,0.0,0.8423658410708109,0.15763415892918906
